Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,2009,0
United States,North America,Canada,North America,2009,103978654
United States,North America,Mexico,North America,2009,21784338
United States,North America,Brazil,South America,2009,4624007
United States,North America,Argentina,South America,2009,3248709
United States,North America,United Kingdom,Europe,2009,26672108
United States,North America,Netherlands,Europe,2009,3640239
United States,North America,Belgium,Europe,2009,12693368
United States,North America,France,Europe,2009,10423313
United States,North America,Switzerland,Europe,2009,2144512
United States,North America,Spain,Europe,2009,21141122
United States,North America,Portugal,Europe,2009,5712072
United States,North America,Germany,Europe,2009,16837024
United States,North America,Poland,Europe,2009,1369160
United States,North America,Austria,Europe,2009,752594
United States,North America,Hungary,Europe,2009,217999
United States,North America,Czech Republic,Europe,2009,1165101
United States,North America,Slovakia,Europe,2009,434259
United States,North America,Italy,Europe,2009,11761182
United States,North America,Croatia,Europe,2009,170385
United States,North America,Serbia,Europe,2009,167058
United States,North America,Bosnia,Europe,2009,18019
United States,North America,Greece,Europe,2009,1245429
United States,North America,Bulgaria,Europe,2009,424359
United States,North America,Romania,Europe,2009,4926
United States,North America,Russia,Asia,2009,871159
United States,North America,Ukraine,Europe,2009,1992359
United States,North America,Finland,Europe,2009,3076233
United States,North America,Sweden,Europe,2009,2294646
United States,North America,Norway,Europe,2009,4423754
United States,North America,Denmark,Europe,2009,5265354
United States,North America,South Africa,Africa,2009,2165295
United States,North America,Turkey,Asia,2009,3082610
United States,North America,Iraq,Asia,2009,11236483
United States,North America,Lebanon,Asia,2009,7260804
United States,North America,Israel,Asia,2009,32474877
United States,North America,Taiwan,Asia,2009,6161238
United States,North America,South Korea,Asia,2009,69870639
United States,North America,Japan,Asia,2009,6658287
United States,North America,India,Asia,2009,957873
United States,North America,Pakistan,Asia,2009,5266990
United States,North America,Thailand,Asia,2009,27373797
United States,North America,Singapore,Asia,2009,1299425
United States,North America,Philippines,Asia,2009,13068010
United States,North America,Indonesia,Asia,2009,716601
United States,North America,Australia,Oceania,2009,103747681
United States,North America,Cyprus,Europe,2009,50543
United States,North America,China,Asia,2009,439968
United States,North America,Ivory Coast,Africa,2009,0
United States,North America,Iran,Asia,2009,0
Canada,North America,United States,North America,2009,52870512
Canada,North America,Canada,North America,2009,93779
Canada,North America,Mexico,North America,2009,48425
Canada,North America,Brazil,South America,2009,74508
Canada,North America,Argentina,South America,2009,48667
Canada,North America,United Kingdom,Europe,2009,13571267
Canada,North America,Netherlands,Europe,2009,1217404
Canada,North America,Belgium,Europe,2009,413757
Canada,North America,France,Europe,2009,497171
Canada,North America,Switzerland,Europe,2009,286342
Canada,North America,Spain,Europe,2009,134711
Canada,North America,Portugal,Europe,2009,479
Canada,North America,Germany,Europe,2009,935494
Canada,North America,Poland,Europe,2009,77963
Canada,North America,Austria,Europe,2009,80199
Canada,North America,Hungary,Europe,2009,17920
Canada,North America,Czech Republic,Europe,2009,112233
Canada,North America,Slovakia,Europe,2009,1142
Canada,North America,Italy,Europe,2009,174335
Canada,North America,Croatia,Europe,2009,1751
Canada,North America,Serbia,Europe,2009,15435
Canada,North America,Bosnia,Europe,2009,2437
Canada,North America,Greece,Europe,2009,8959
Canada,North America,Bulgaria,Europe,2009,14892
Canada,North America,Romania,Europe,2009,30634
Canada,North America,Russia,Asia,2009,17685
Canada,North America,Ukraine,Europe,2009,434
Canada,North America,Finland,Europe,2009,10329
Canada,North America,Sweden,Europe,2009,37859
Canada,North America,Norway,Europe,2009,1591944
Canada,North America,Denmark,Europe,2009,1461802
Canada,North America,South Africa,Africa,2009,14265
Canada,North America,Turkey,Asia,2009,54066
Canada,North America,Iraq,Asia,2009,0
Canada,North America,Lebanon,Asia,2009,1500
Canada,North America,Israel,Asia,2009,303105
Canada,North America,Taiwan,Asia,2009,77780
Canada,North America,South Korea,Asia,2009,74984
Canada,North America,Japan,Asia,2009,1351702
Canada,North America,India,Asia,2009,8226
Canada,North America,Pakistan,Asia,2009,2354
Canada,North America,Thailand,Asia,2009,66717
Canada,North America,Singapore,Asia,2009,43066
Canada,North America,Philippines,Asia,2009,116713
Canada,North America,Indonesia,Asia,2009,0
Canada,North America,Australia,Oceania,2009,471323
Canada,North America,Cyprus,Europe,2009,0
Canada,North America,China,Asia,2009,180540
Canada,North America,Ivory Coast,Africa,2009,0
Canada,North America,Iran,Asia,2009,0
Mexico,North America,United States,North America,2009,7292135
Mexico,North America,Canada,North America,2009,8017
Mexico,North America,Mexico,North America,2009,0
Mexico,North America,Brazil,South America,2009,0
Mexico,North America,Argentina,South America,2009,79510
Mexico,North America,United Kingdom,Europe,2009,43214
Mexico,North America,Netherlands,Europe,2009,0
Mexico,North America,Belgium,Europe,2009,0
Mexico,North America,France,Europe,2009,184394
Mexico,North America,Switzerland,Europe,2009,0
Mexico,North America,Spain,Europe,2009,0
Mexico,North America,Portugal,Europe,2009,0
Mexico,North America,Germany,Europe,2009,367546
Mexico,North America,Poland,Europe,2009,0
Mexico,North America,Austria,Europe,2009,0
Mexico,North America,Hungary,Europe,2009,0
Mexico,North America,Czech Republic,Europe,2009,207883
Mexico,North America,Slovakia,Europe,2009,0
Mexico,North America,Italy,Europe,2009,8437
Mexico,North America,Croatia,Europe,2009,0
Mexico,North America,Serbia,Europe,2009,0
Mexico,North America,Bosnia,Europe,2009,0
Mexico,North America,Greece,Europe,2009,0
Mexico,North America,Bulgaria,Europe,2009,0
Mexico,North America,Romania,Europe,2009,0
Mexico,North America,Russia,Asia,2009,0
Mexico,North America,Ukraine,Europe,2009,0
Mexico,North America,Finland,Europe,2009,0
Mexico,North America,Sweden,Europe,2009,0
Mexico,North America,Norway,Europe,2009,0
Mexico,North America,Denmark,Europe,2009,0
Mexico,North America,South Africa,Africa,2009,0
Mexico,North America,Turkey,Asia,2009,0
Mexico,North America,Iraq,Asia,2009,0
Mexico,North America,Lebanon,Asia,2009,0
Mexico,North America,Israel,Asia,2009,0
Mexico,North America,Taiwan,Asia,2009,0
Mexico,North America,South Korea,Asia,2009,0
Mexico,North America,Japan,Asia,2009,0
Mexico,North America,India,Asia,2009,0
Mexico,North America,Pakistan,Asia,2009,0
Mexico,North America,Thailand,Asia,2009,0
Mexico,North America,Singapore,Asia,2009,0
Mexico,North America,Philippines,Asia,2009,0
Mexico,North America,Indonesia,Asia,2009,0
Mexico,North America,Australia,Oceania,2009,31540
Mexico,North America,Cyprus,Europe,2009,0
Mexico,North America,China,Asia,2009,0
Mexico,North America,Ivory Coast,Africa,2009,0
Mexico,North America,Iran,Asia,2009,0
Brazil,South America,United States,North America,2009,212824130
Brazil,South America,Canada,North America,2009,1558798
Brazil,South America,Mexico,North America,2009,872930
Brazil,South America,Brazil,South America,2009,0
Brazil,South America,Argentina,South America,2009,8715512
Brazil,South America,United Kingdom,Europe,2009,32100139
Brazil,South America,Netherlands,Europe,2009,6276961
Brazil,South America,Belgium,Europe,2009,1237699
Brazil,South America,France,Europe,2009,488487
Brazil,South America,Switzerland,Europe,2009,1069976
Brazil,South America,Spain,Europe,2009,1542717
Brazil,South America,Portugal,Europe,2009,250601
Brazil,South America,Germany,Europe,2009,19786684
Brazil,South America,Poland,Europe,2009,269166
Brazil,South America,Austria,Europe,2009,31981
Brazil,South America,Hungary,Europe,2009,0
Brazil,South America,Czech Republic,Europe,2009,1651280
Brazil,South America,Slovakia,Europe,2009,33807
Brazil,South America,Italy,Europe,2009,2969552
Brazil,South America,Croatia,Europe,2009,530
Brazil,South America,Serbia,Europe,2009,0
Brazil,South America,Bosnia,Europe,2009,0
Brazil,South America,Greece,Europe,2009,0
Brazil,South America,Bulgaria,Europe,2009,212873
Brazil,South America,Romania,Europe,2009,515258
Brazil,South America,Russia,Asia,2009,13844
Brazil,South America,Ukraine,Europe,2009,0
Brazil,South America,Finland,Europe,2009,836334
Brazil,South America,Sweden,Europe,2009,2033423
Brazil,South America,Norway,Europe,2009,50014
Brazil,South America,Denmark,Europe,2009,257065
Brazil,South America,South Africa,Africa,2009,94219
Brazil,South America,Turkey,Asia,2009,724602
Brazil,South America,Iraq,Asia,2009,0
Brazil,South America,Lebanon,Asia,2009,136354
Brazil,South America,Israel,Asia,2009,700923
Brazil,South America,Taiwan,Asia,2009,0
Brazil,South America,South Korea,Asia,2009,0
Brazil,South America,Japan,Asia,2009,74404
Brazil,South America,India,Asia,2009,5384
Brazil,South America,Pakistan,Asia,2009,2447639
Brazil,South America,Thailand,Asia,2009,2159581
Brazil,South America,Singapore,Asia,2009,11352091
Brazil,South America,Philippines,Asia,2009,6697618
Brazil,South America,Indonesia,Asia,2009,9454
Brazil,South America,Australia,Oceania,2009,1013472
Brazil,South America,Cyprus,Europe,2009,0
Brazil,South America,China,Asia,2009,0
Brazil,South America,Ivory Coast,Africa,2009,0
Brazil,South America,Iran,Asia,2009,0
Argentina,South America,United States,North America,2009,8924678
Argentina,South America,Canada,North America,2009,0
Argentina,South America,Mexico,North America,2009,5
Argentina,South America,Brazil,South America,2009,0
Argentina,South America,Argentina,South America,2009,0
Argentina,South America,United Kingdom,Europe,2009,0
Argentina,South America,Netherlands,Europe,2009,0
Argentina,South America,Belgium,Europe,2009,0
Argentina,South America,France,Europe,2009,0
Argentina,South America,Switzerland,Europe,2009,0
Argentina,South America,Spain,Europe,2009,604
Argentina,South America,Portugal,Europe,2009,0
Argentina,South America,Germany,Europe,2009,0
Argentina,South America,Poland,Europe,2009,0
Argentina,South America,Austria,Europe,2009,0
Argentina,South America,Hungary,Europe,2009,0
Argentina,South America,Czech Republic,Europe,2009,7771
Argentina,South America,Slovakia,Europe,2009,0
Argentina,South America,Italy,Europe,2009,0
Argentina,South America,Croatia,Europe,2009,0
Argentina,South America,Serbia,Europe,2009,0
Argentina,South America,Bosnia,Europe,2009,0
Argentina,South America,Greece,Europe,2009,0
Argentina,South America,Bulgaria,Europe,2009,0
Argentina,South America,Romania,Europe,2009,0
Argentina,South America,Russia,Asia,2009,0
Argentina,South America,Ukraine,Europe,2009,0
Argentina,South America,Finland,Europe,2009,0
Argentina,South America,Sweden,Europe,2009,0
Argentina,South America,Norway,Europe,2009,0
Argentina,South America,Denmark,Europe,2009,0
Argentina,South America,South Africa,Africa,2009,0
Argentina,South America,Turkey,Asia,2009,0
Argentina,South America,Iraq,Asia,2009,0
Argentina,South America,Lebanon,Asia,2009,0
Argentina,South America,Israel,Asia,2009,0
Argentina,South America,Taiwan,Asia,2009,0
Argentina,South America,South Korea,Asia,2009,0
Argentina,South America,Japan,Asia,2009,0
Argentina,South America,India,Asia,2009,0
Argentina,South America,Pakistan,Asia,2009,0
Argentina,South America,Thailand,Asia,2009,0
Argentina,South America,Singapore,Asia,2009,0
Argentina,South America,Philippines,Asia,2009,386715
Argentina,South America,Indonesia,Asia,2009,0
Argentina,South America,Australia,Oceania,2009,0
Argentina,South America,Cyprus,Europe,2009,0
Argentina,South America,China,Asia,2009,0
Argentina,South America,Ivory Coast,Africa,2009,0
Argentina,South America,Iran,Asia,2009,0
United Kingdom,Europe,United States,North America,2009,19854765
United Kingdom,Europe,Canada,North America,2009,1446004
United Kingdom,Europe,Mexico,North America,2009,19038
United Kingdom,Europe,Brazil,South America,2009,74325
United Kingdom,Europe,Argentina,South America,2009,48128
United Kingdom,Europe,United Kingdom,Europe,2009,4806747
United Kingdom,Europe,Netherlands,Europe,2009,2302441
