Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,Canada,North America,2011,10541038
United States,North America,Mexico,North America,2011,1859624
United States,North America,Brazil,South America,2011,301236
United States,North America,Argentina,South America,2011,356386
United States,North America,United Kingdom,Europe,2011,118961
United States,North America,Netherlands,Europe,2011,21426
United States,North America,Belgium,Europe,2011,3713723
United States,North America,France,Europe,2011,720058
United States,North America,Switzerland,Europe,2011,705868
United States,North America,Spain,Europe,2011,201623
United States,North America,Portugal,Europe,2011,18179
United States,North America,Germany,Europe,2011,1635365
United States,North America,Poland,Europe,2011,41022
United States,North America,Austria,Europe,2011,149417
United States,North America,Hungary,Europe,2011,3196
United States,North America,Czech Republic,Europe,2011,463568
United States,North America,Slovakia,Europe,2011,74805
United States,North America,Italy,Europe,2011,2036613
United States,North America,Croatia,Europe,2011,1519
United States,North America,Serbia,Europe,2011,7122
United States,North America,Bosnia,Europe,2011,23219
United States,North America,Greece,Europe,2011,106824
United States,North America,Bulgaria,Europe,2011,91661
United States,North America,Romania,Europe,2011,33828
United States,North America,Russia,Asia,2011,5141
United States,North America,Ukraine,Europe,2011,237386
United States,North America,Finland,Europe,2011,129774
United States,North America,Sweden,Europe,2011,66352
United States,North America,Norway,Europe,2011,187704
United States,North America,Denmark,Europe,2011,107907
United States,North America,South Africa,Africa,2011,575374
United States,North America,Turkey,Asia,2011,2585
United States,North America,Iraq,Asia,2011,45259
United States,North America,Lebanon,Asia,2011,29400
United States,North America,Israel,Asia,2011,1310910
United States,North America,Taiwan,Asia,2011,34347
United States,North America,South Korea,Asia,2011,95419
United States,North America,Japan,Asia,2011,72960
United States,North America,India,Asia,2011,4670
United States,North America,Pakistan,Asia,2011,323914
United States,North America,Thailand,Asia,2011,36810836
United States,North America,Singapore,Asia,2011,21987
United States,North America,Philippines,Asia,2011,6236401
United States,North America,Indonesia,Asia,2011,590482
United States,North America,Australia,Oceania,2011,3312935
United States,North America,Canada,North America,2011,18763363
United States,North America,Mexico,North America,2011,446987
United States,North America,Brazil,South America,2011,102345
United States,North America,Argentina,South America,2011,374778
United States,North America,United Kingdom,Europe,2011,4280328
United States,North America,Netherlands,Europe,2011,3697
United States,North America,Belgium,Europe,2011,2650
United States,North America,France,Europe,2011,454449
United States,North America,Switzerland,Europe,2011,111140
United States,North America,Spain,Europe,2011,59100
United States,North America,Portugal,Europe,2011,10166
United States,North America,Germany,Europe,2011,637256
United States,North America,Poland,Europe,2011,22395
United States,North America,Austria,Europe,2011,109151
United States,North America,Hungary,Europe,2011,7962
United States,North America,Czech Republic,Europe,2011,39297
United States,North America,Slovakia,Europe,2011,8429
United States,North America,Italy,Europe,2011,609543
United States,North America,Croatia,Europe,2011,17596
United States,North America,Serbia,Europe,2011,34810
United States,North America,Bosnia,Europe,2011,5559
United States,North America,Greece,Europe,2011,648611
United States,North America,Cyprus,Europe,2011,22225
United States,North America,Bulgaria,Europe,2011,6146
United States,North America,Russia,Asia,2011,864350
United States,North America,Ukraine,Europe,2011,608882
United States,North America,Finland,Europe,2011,246984
United States,North America,Sweden,Europe,2011,53149
United States,North America,Norway,Europe,2011,244319
United States,North America,Denmark,Europe,2011,65327
United States,North America,South Africa,Africa,2011,94600
United States,North America,Turkey,Asia,2011,6110
United States,North America,Lebanon,Asia,2011,1392899
United States,North America,Israel,Asia,2011,3190
United States,North America,China,Asia,2011,14875
United States,North America,Taiwan,Asia,2011,31943
United States,North America,South Korea,Asia,2011,109636
United States,North America,Japan,Asia,2011,61675
United States,North America,India,Asia,2011,40731
United States,North America,Pakistan,Asia,2011,365133
United States,North America,Thailand,Asia,2011,2547513
United States,North America,Singapore,Asia,2011,268602
United States,North America,Philippines,Asia,2011,229421
United States,North America,Australia,Oceania,2011,1281861
United States,North America,Canada,North America,2011,30088862
United States,North America,Mexico,North America,2011,746017
United States,North America,Brazil,South America,2011,233575
United States,North America,Argentina,South America,2011,1924956
United States,North America,United Kingdom,Europe,2011,1482236
United States,North America,Netherlands,Europe,2011,63976
United States,North America,Belgium,Europe,2011,1135248
United States,North America,France,Europe,2011,2055000
United States,North America,Switzerland,Europe,2011,569578
United States,North America,Spain,Europe,2011,693558
United States,North America,Portugal,Europe,2011,12774
United States,North America,Germany,Europe,2011,2253231
United States,North America,Poland,Europe,2011,200139
United States,North America,Austria,Europe,2011,1270482
United States,North America,Hungary,Europe,2011,71800
United States,North America,Czech Republic,Europe,2011,243568
United States,North America,Slovakia,Europe,2011,52581
United States,North America,Italy,Europe,2011,1485682
United States,North America,Croatia,Europe,2011,4827
United States,North America,Serbia,Europe,2011,3328
United States,North America,Bosnia,Europe,2011,45245
United States,North America,Cyprus,Europe,2011,5104
United States,North America,Bulgaria,Europe,2011,54861
United States,North America,Romania,Europe,2011,13003
United States,North America,Russia,Asia,2011,2642029
United States,North America,Ukraine,Europe,2011,442500
United States,North America,Finland,Europe,2011,551937
United States,North America,Sweden,Europe,2011,621448
United States,North America,Norway,Europe,2011,674860
United States,North America,Denmark,Europe,2011,335623
United States,North America,South Africa,Africa,2011,1134770
United States,North America,Turkey,Asia,2011,3624450
United States,North America,Lebanon,Asia,2011,14122
United States,North America,Israel,Asia,2011,711243
United States,North America,China,Asia,2011,10599
United States,North America,South Korea,Asia,2011,41672
United States,North America,Japan,Asia,2011,245787
United States,North America,India,Asia,2011,26919
United States,North America,Thailand,Asia,2011,1032747
United States,North America,Singapore,Asia,2011,7400
United States,North America,Philippines,Asia,2011,202038
United States,North America,Indonesia,Asia,2011,50757
United States,North America,Australia,Oceania,2011,11768492
United States,North America,Canada,North America,2011,52334858
United States,North America,Mexico,North America,2011,7842759
United States,North America,Brazil,South America,2011,219441
United States,North America,Argentina,South America,2011,5009
United States,North America,United Kingdom,Europe,2011,830402
United States,North America,Belgium,Europe,2011,282829
United States,North America,France,Europe,2011,117597
United States,North America,Switzerland,Europe,2011,38600
United States,North America,Spain,Europe,2011,706200
United States,North America,Germany,Europe,2011,602414
United States,North America,Poland,Europe,2011,1881314
United States,North America,Austria,Europe,2011,113495
United States,North America,Hungary,Europe,2011,223260
United States,North America,Czech Republic,Europe,2011,36888
United States,North America,Italy,Europe,2011,767214
United States,North America,Croatia,Europe,2011,127657
United States,North America,Serbia,Europe,2011,16128
United States,North America,Bosnia,Europe,2011,137845
United States,North America,Romania,Europe,2011,95122
United States,North America,Russia,Asia,2011,83770
United States,North America,Norway,Europe,2011,2863
United States,North America,Denmark,Europe,2011,53676
United States,North America,Ivory Coast,Africa,2011,51596
United States,North America,South Africa,Africa,2011,47360
United States,North America,Turkey,Asia,2011,60000
United States,North America,Iraq,Asia,2011,6063119
United States,North America,Lebanon,Asia,2011,168790
United States,North America,Israel,Asia,2011,2386564
United States,North America,South Korea,Asia,2011,18889127
United States,North America,Japan,Asia,2011,200561
United States,North America,India,Asia,2011,8658
United States,North America,Pakistan,Asia,2011,101048
United States,North America,Thailand,Asia,2011,3801326
United States,North America,Singapore,Asia,2011,5261
United States,North America,Philippines,Asia,2011,2575981
United States,North America,Indonesia,Asia,2011,25584
United States,North America,Australia,Oceania,2011,3573995
United States,North America,Canada,North America,2011,67848916
United States,North America,Mexico,North America,2011,9910659
United States,North America,Brazil,South America,2011,6607600
United States,North America,Argentina,South America,2011,2267676
United States,North America,United Kingdom,Europe,2011,11455950
United States,North America,Netherlands,Europe,2011,627112
United States,North America,Belgium,Europe,2011,8067571
United States,North America,France,Europe,2011,15384616
United States,North America,Switzerland,Europe,2011,1546522
United States,North America,Spain,Europe,2011,8331359
United States,North America,Portugal,Europe,2011,175174
United States,North America,Germany,Europe,2011,13729107
United States,North America,Poland,Europe,2011,327386
United States,North America,Austria,Europe,2011,867349
United States,North America,Hungary,Europe,2011,169633
United States,North America,Czech Republic,Europe,2011,1325627
United States,North America,Slovakia,Europe,2011,198674
United States,North America,Italy,Europe,2011,4070055
United States,North America,Croatia,Europe,2011,27743
United States,North America,Serbia,Europe,2011,35232
United States,North America,Greece,Europe,2011,63234
United States,North America,Bulgaria,Europe,2011,267985
United States,North America,Romania,Europe,2011,3780
United States,North America,Russia,Asia,2011,568316
United States,North America,Ukraine,Europe,2011,567332
United States,North America,Finland,Europe,2011,2016542
United States,North America,Sweden,Europe,2011,931206
United States,North America,Norway,Europe,2011,5370261
United States,North America,Denmark,Europe,2011,6020899
United States,North America,South Africa,Africa,2011,3611644
United States,North America,Turkey,Asia,2011,3765504
United States,North America,Iraq,Asia,2011,8737051
United States,North America,Lebanon,Asia,2011,732811
United States,North America,Israel,Asia,2011,42728933
United States,North America,China,Asia,2011,400077
United States,North America,Taiwan,Asia,2011,550129
United States,North America,South Korea,Asia,2011,2325696
United States,North America,Japan,Asia,2011,5221736
United States,North America,India,Asia,2011,89690
United States,North America,Pakistan,Asia,2011,1157111
United States,North America,Thailand,Asia,2011,1909175
United States,North America,Singapore,Asia,2011,1306809
United States,North America,Philippines,Asia,2011,4447325
United States,North America,Indonesia,Asia,2011,602634
United States,North America,Australia,Oceania,2011,64822162
United States,North America,Canada,North America,2011,14935443
United States,North America,Mexico,North America,2011,149100
United States,North America,Brazil,South America,2011,292073
United States,North America,Argentina,South America,2011,43969
United States,North America,United Kingdom,Europe,2011,426826
United States,North America,Netherlands,Europe,2011,36950
United States,North America,Belgium,Europe,2011,1373311
United States,North America,France,Europe,2011,489944
United States,North America,Switzerland,Europe,2011,7081
United States,North America,Spain,Europe,2011,115809
United States,North America,Portugal,Europe,2011,6800
United States,North America,Germany,Europe,2011,708091
United States,North America,Poland,Europe,2011,171115
United States,North America,Austria,Europe,2011,3000
United States,North America,Czech Republic,Europe,2011,4166
United States,North America,Slovakia,Europe,2011,2439
United States,North America,Italy,Europe,2011,406853
United States,North America,Croatia,Europe,2011,5058
United States,North America,Serbia,Europe,2011,11628
United States,North America,Greece,Europe,2011,4895
United States,North America,Bulgaria,Europe,2011,18284
United States,North America,Russia,Asia,2011,11111
United States,North America,Ukraine,Europe,2011,13094
United States,North America,Finland,Europe,2011,72976
United States,North America,Sweden,Europe,2011,712341
United States,North America,Norway,Europe,2011,237913
